Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock
C1 ,1,"1","Capacitor_SMD:C_0805_2012Metric","~"
C2 C3 ,2,"22p","Capacitor_SMD:C_0805_2012Metric","~"
C5 ,1,"0.1","Capacitor_SMD:C_0805_2012Metric","~"
C4 C6 C7 ,3,"22u","Capacitor_SMD:C_Elec_5x5.4","~"
D1 ,1,"LED","LED_SMD:LED_0603_1608Metric","~"
IC1 ,1,"DS1233AZ-10+","symbols:SOT230P700X180-4N","http://docs-emea.rs-online.com/webdocs/0f62/0900766b80f62e31.pdf","3.3V EconoReset","1.8","Maxim Integrated","DS1233AZ-10+","700-DS1233AZ-10","https://www.mouser.co.uk/ProductDetail/Maxim-Integrated/DS1233AZ-10%2b?qs=0Y9aZN%252BMVCXgsHZi1idsXQ%3D%3D"
J1 ,1,"HR911105A","EthShield:HR911105A","https://datasheet.lcsc.com/szlcsc/Zhongshan-HanRun-Elec-HR911105A_C12074.pdf","Ethernet Connectors/Modular Connectors (RJ45 RJ11) DIP RoHS","13.75","Hanrun Electronics","HR911105A","",""
J2 ,1,"RPi_GPIO","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
R1 R2 R4 ,3,"680","Resistor_SMD:R_0805_2012Metric","~"
R3 ,1,"1k","Resistor_SMD:R_0805_2012Metric","~"
U1 ,1,"ENC28J60x-SO","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/devicedoc/39662e.pdf"
U2 ,1,"LM1117-3.3","Package_TO_SOT_SMD:SOT-223","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
Y1 ,1,"25MHz","Crystal:Crystal_SMD_HC49-SD","~"
